aphiaID,scientificName,n_events
175026,Golfingia (Golfingia) elongata,2684
131543,Thelepus cincinnatus,2677
131169,Pseudopolydora pulchra,2670
122348,Cerebratulus,2659
129837,Paramphinome jeffreysii,2648
102057,Unciola crenatipalma,2637
110445,Bodotria scorpioides,2609
1268,Sipuncula,2605
130240,Lumbrineris cingulata,2595
745846,Polititapes rhomboides,2592
140295,Lutraria lutraria,2586
131135,Marenzelleria viridis,2582
1292,Anthozoa,2577
152448,Amphictene auricoma,2563
130578,Levinsenia gracilis,2546
102460,Leucothoe incisa,2527
129443,Eteone,2514
130749,Gattyana cirrhosa,2499
710680,Oxydromus flexuosus,2492
130641,Eumida bahusiensis,2488
923,Maldanidae,2486
140283,Lucinoma borealis,2475
130067,Eunice vittata,2464
110535,Eudorella truncatula,2461
1381415,Turritellinella tricarinata,2453
131171,Scolelepis bonnieri,2450
879714,Asbjornsenia pygmaea,2440
106925,Liocarcinus,2427
1606,Campanulariidae,2421
101669,Cheirocratus,2418
102788,Abludomelita obtusata,2414
129472,Polygordius,2413
107393,Liocarcinus pusillus,2399
883,Polychaeta,2397
131415,Syllis armillaris,2383
138474,Abra,2380
111268,Cellepora pumicosa,2377
102036,Leptocheirus hirsutimanus,2376
140103,Hiatella arctica,2361
138549,Thracia,2360
138159,Spisula,2352
104906,Branchiostoma lanceolatum,2350
140873,Gari tellinella,2350
131193,Streblospio shrubsolii,2345
134723,Anoplodactylus petiolatus,2342
111147,Bicellariella ciliata,2339
102783,Megaluropus agilis,2336
124465,Leptosynapta inhaerens,2335
131072,Sigalion mathildae,2323
111421,Microporella ciliata,2306
131074,Sthenelais boa,2298
129953,Chaetozone gibber,2295
107729,Callianassa subterranea,2294
101896,Ampelisca diadema,2290
111054,Tubulipora,2286
136060,Nephasoma (Nephasoma) minutum,2281
152249,Psamathe fusca,2274
129379,Nereis,2253
236130,Acrocnida brachiata,2227
102160,Apherusa bispinosa,2217
742232,Lysidice unicornis,2192
140242,Limatula subauriculata,2184
140262,Littorina littorea,2175
131394,Sphaerosyllis taylori,2174
102383,Photis longicaudata,2171
123080,Asteroidea,2167
140201,Leptochiton cancellatus,2167
101864,Phtisica marina,2166
140687,Aequipecten opercularis,2166
103076,Bathyporeia tenuipes,2165
130235,Lumbrineriopsis paradoxa,2161
131180,Spio armata,2144
334514,Phyllodoce rosea,2125
730747,Aricidea (Aricidea) minuta,2100
131009,Hydroides norvegica,2099
131531,Polycirrus medusa,2086
129964,Cirriformia tentaculata,2082
214,Anomiidae,2077
102139,Nototropis falcatus,2069
134599,Achelia echinata,2065
111669,Vesicularia spinosa,2058
181364,Venerupis corrugata,2054
130707,Pisione remota,2040
862786,Schizomavella (Schizomavella) auriculata,2026
130683,Pseudomystides limbata,2023
117103,Halecium,2000
157583,Syllis cornuta,1996
102928,Synchelidium maculatum,1995
130364,Nephtys longosetosa,1969
131168,Pseudopolydora paucibranchiata,1965
101445,Ampelisca,1962
146469,Abyssoninoe hibernica,1957
141912,Dosinia lupinus,1941
123082,Echinoidea,1940
140299,Mactra stultorum,1905
852,Rhodophyta,1903
102916,Pontocrates altamarinus,1898
150520,Nymphon brevirostre,1898
107387,Liocarcinus depurator,1897
102364,Gammaropsis maculata,1892
117368,Clytia hemisphaerica,1892
130362,Nephtys incisa,1890
131290,Eusyllis blomstrandi,1887
129241,Caulleriella,1877
333456,Exogone verugera,1872
129789,Anobothrus gracilis,1864
131131,Malacoceros fuliginosus,1861
131490,Eupolymnia nesidensis,1858
211,Mytilidae,1857
130500,Ophelina acuminata,1854
111496,Escharella ventricosa,1829
130982,Sclerocheilus minutus,1828
138802,Arctica islandica,1828
136458,Tanaopsis graciloides,1822
137142,Larus fuscus,1809
138636,Dosinia,1809
124287,Echinus esculentus,1808
131328,Odontosyllis gibba,1804
111125,Porella concinna,1796
101933,Ampelisca typica,1783
130963,Pseudopotamilla reniformis,1780
139106,Chaetoderma nitidulum,1778
137582,Tubificoides pseudogaster,1774
131100,Sphaerodorum gracilis,1755
22496,Nereididae,1735
123867,Astropecten irregularis,1730
102570,Hippomedon denticulatus,1726
118474,Cyathura carinata,1724
468026,Alcyonidioides mytili,1723
131379,Sphaerosyllis bulbosa,1722
107392,Liocarcinus navigator,1715
175043,Phascolion (Phascolion) strombus,1698
101368,Aoridae,1695
138831,Goodallia triangularis,1691
117870,Abietinaria abietina,1690
131141,Polydora ciliata,1687
130353,Nephtys assimilis,1684
130866,Sabellaria alveolata,1673
2,Animalia,1671
102377,Megamphopus cornutus,1660
103068,Bathyporeia pilosa,1660
131575,Trichobranchus roseus,1659
138878,Buccinum undatum,1657
140584,Ennucula tenuis,1656
130603,Pholoe minuta,1654
335151,Trypanosyllis (Trypanosyllis) coeliaca,1648
129242,Chaetozone,1642
152276,Malmgrenia arenicolae,1641
131191,Streblospio benedicti,1639
123200,Ophiuridae,1638
333034,Aricidea (Acmira) catherinae,1620
130974,Asclerocheilus intermedius,1612
141907,Chamelea gallina,1603
1039839,Steromphala cineraria,1600
140431,Mya truncata,1599
111250,Scrupocellaria scruposa,1598
101489,Corophium,1596
100665,Edwardsiidae,1589
103233,Urothoe marina,1584
130494,Ophelia limacina,1582
130131,Glycera unicornis,1572
111061,Reptadeonella violacea,1570
103166,Stenothoe marina,1569
136063,Thysanocardia procera,1568
117809,Nemertesia antennina,1565
118995,Gnathia oxyuraea,1547
110462,Iphinoe trispinosa,1546
1078,Ostracoda,1543
131458,Syllis variegata,1541
488966,Nototropis swammerdamei,1536
154127,Schistomeringos rudolphi,1532
107276,Cancer pagurus,1520
107400,Portumnus latipes,1520
101,Gastropoda,1515
102798,Cheirocratus sundevallii,1514
137133,Uria aalge,1514
876640,Ensis leei,1508
107647,Pandalina brevirostris,1506
129840,Aphrodita aculeata,1503
111878,Lagotia viridis,1499
136050,Golfingia (Golfingia) vulgaris,1499
129337,Lumbrineris,1493
127986,Cyprideis torosa,1490
525497,Aricidea (Acmira) cerrutii,1488
117913,Sertularia cupressina,1485
140733,Ensis ensis,1470
126792,Callionymus lyra,1464
155194,Malmgrenia lunulata,1462
130452,Aponuphis bilineata,1453
129619,Polydora,1451
130890,Chone filicaudata,1446
106210,Semibalanus balanoides,1443
152304,Malmgrenia ljungmani,1441
124850,Ophiocten affinis,1431
1762,Nudibranchia,1430
132026,Cliona,1421
131118,Dipolydora flava,1415
129155,Ampharete,1412
129290,Diplocirrus,1411
100834,Urticina felina,1404
102918,Pontocrates arenarius,1404
129906,Peresiella clymenoides,1384
129778,Ampharete finmarchica,1379
123106,Spatangoida,1374
948,Syllidae,1373
140588,Nucula hanleyi,1368
111659,Amathia lendigera,1365
130762,Harmothoe extenuata,1363
410749,Phascolion (Phascolion) strombus strombus,1355
118852,Eurydice pulchra,1347
130248,Lumbrineris latreilli,1347
571832,Harmothoe glabra,1346
1820,Enteropneusta,1331
1082,Cirripedia,1330
125195,Amphiura (Ophiopeltis) securigera,1329
130921,Jasmineira elegans,1327
111547,Parasmittina trispinosa,1325
118467,Anthura gracilis,1315
157566,Scolelepis (Scolelepis) squamata,1314
124154,Crossaster papposus,1296
111464,Rhynchozoon bispinosum,1279
130769,Harmothoe imbricata,1279
130920,Jasmineira caudata,1278
145548,Fucus vesiculosus,1268
145625,Chondrus crispus,1262
921,Capitellidae,1257
102380,Microprotopus maculatus,1250
107418,Pilumnus hirtellus,1244
913,Spionidae,1237
102932,Westwoodilla caecula,1236
130407,Nereis zonata,1235
129777,Ampharete falcata,1234
130071,Lysidice ninetta,1229
981,Ampharetidae,1227
145367,Dictyota dichotoma,1225
103066,Bathyporeia pelagica,1222
129430,Aricidea,1219
982,Terebellidae,1212
141911,Dosinia exoleta,1203
130417,Platynereis dumerilii,1201
141767,Calliostoma zizyphinum,1192
137156,Rissa tridactyla,1185
111196,Callopora dumerilii,1182
145546,Fucus serratus,1180
111354,Electra monostachys,1179
131388,Sphaerosyllis hystrix,1173
